,Pressure (PSI),	Welding Time (ms),	Angle (Deg),	Force (N),	Current (A),	Thickness A (mm),	Thickness B (mm),	PullTest (N),	NuggetDiameter (mm)
1946,0.41666666666666663,0.6153846153846154,1.0,0.7489786264137961,0.4253028817072956,4.65198350952053e-05,4.9097866301758743e-05,0.41672353396114836,0.946808510638298
1947,0.41666666666666663,0.6153846153846154,1.0,0.748161527544833,0.7819956424968141,4.65198350952053e-05,4.9097866301758743e-05,0.41672353396114836,0.946808510638298
1948,0.41666666666666663,0.6153846153846154,1.0,0.7475164494903883,0.7022960087541573,4.65198350952053e-05,4.9097866301758743e-05,0.41672353396114836,0.946808510638298
1949,0.41666666666666663,0.6153846153846154,1.0,0.7470433922504623,0.7018124942497009,4.65198350952053e-05,4.9097866301758743e-05,0.41672353396114836,0.946808510638298
1950,0.41666666666666663,0.6153846153846154,1.0,0.7465273298069066,0.7557018496876731,4.65198350952053e-05,4.9097866301758743e-05,0.41672353396114836,0.946808510638298
1951,0.41666666666666663,0.6153846153846154,1.0,0.7458822517524621,0.8832987826005251,4.65198350952053e-05,4.9097866301758743e-05,0.41672353396114836,0.946808510638298
1952,0.41666666666666663,0.6153846153846154,1.0,0.7452371736980175,0.7522017527890174,4.65198350952053e-05,4.9097866301758743e-05,0.41672353396114836,0.946808510638298
1953,0.41666666666666663,0.6153846153846154,1.0,0.7447211112544618,0.7262916395056798,4.65198350952053e-05,4.9097866301758743e-05,0.41672353396114836,0.946808510638298
1954,0.41666666666666663,0.6153846153846154,1.0,0.7442910592181654,0.743608114430461,4.65198350952053e-05,4.9097866301758743e-05,0.41672353396114836,0.946808510638298
1955,0.41666666666666663,0.6153846153846154,1.0,0.743861007181869,0.8891538104662293,4.65198350952053e-05,4.9097866301758743e-05,0.41672353396114836,0.946808510638298
1956,0.41666666666666663,0.6153846153846154,1.0,0.7433019395346838,0.3975644180305886,4.972809958452983e-05,3.9595053469160214e-05,0.3899276648014194,0.624113475177305
1957,0.41666666666666663,0.6153846153846154,1.0,0.7430439083129059,0.6284259547453914,4.972809958452983e-05,3.9595053469160214e-05,0.3899276648014194,0.624113475177305
1958,0.41666666666666663,0.6153846153846154,1.0,0.7426138562766096,0.6886479799077211,4.972809958452983e-05,3.9595053469160214e-05,0.3899276648014194,0.624113475177305
1959,0.41666666666666663,0.6153846153846154,1.0,0.7423988302584613,0.833494831092919,4.972809958452983e-05,3.9595053469160214e-05,0.3899276648014194,0.624113475177305
1960,0.41666666666666663,0.6153846153846154,1.0,0.742183804240313,0.744334364961446,4.972809958452983e-05,3.9595053469160214e-05,0.3899276648014194,0.624113475177305
1961,0.41666666666666663,0.6153846153846154,1.0,0.741839762611276,0.6915960481008842,4.972809958452983e-05,3.9595053469160214e-05,0.3899276648014194,0.624113475177305
1962,0.41666666666666663,0.6153846153846154,1.0,0.7414527157786093,0.6998784362318755,4.972809958452983e-05,3.9595053469160214e-05,0.3899276648014194,0.624113475177305
1963,0.41666666666666663,0.6153846153846154,1.0,0.7412806949640907,0.8362432293287761,4.972809958452983e-05,3.9595053469160214e-05,0.3899276648014194,0.624113475177305
1964,0.41666666666666663,0.6153846153846154,1.0,0.7414097105749796,0.7911021585888423,4.972809958452983e-05,3.9595053469160214e-05,0.3899276648014194,0.624113475177305
1965,0.41666666666666663,0.6153846153846154,1.0,0.7414527157786093,0.7058567896594452,4.972809958452983e-05,3.9595053469160214e-05,0.3899276648014194,0.624113475177305
1966,0.41666666666666663,0.6153846153846154,1.0,0.7414957209822389,0.4349301057271999,4.812396733986767e-05,3.484364705286106e-05,0.37047905008871296,0.5070921985815604
1967,0.41666666666666663,0.6153846153846154,1.0,0.7414097105749796,0.4937368232509792,4.812396733986767e-05,3.484364705286106e-05,0.37047905008871296,0.5070921985815604
1968,0.41666666666666663,0.6153846153846154,1.0,0.7413237001677203,0.6318790704776223,4.812396733986767e-05,3.484364705286106e-05,0.37047905008871296,0.5070921985815604
1969,0.41666666666666663,0.6153846153846154,1.0,0.7413237001677203,0.7818233782199226,4.812396733986767e-05,3.484364705286106e-05,0.37047905008871296,0.5070921985815604
1970,0.41666666666666663,0.6153846153846154,1.0,0.7414527157786093,0.7756610152238554,4.812396733986767e-05,3.484364705286106e-05,0.37047905008871296,0.5070921985815604
1971,0.41666666666666663,0.6153846153846154,1.0,0.7414957209822389,0.6890414471765297,4.812396733986767e-05,3.484364705286106e-05,0.37047905008871296,0.5070921985815604
1972,0.41666666666666663,0.6153846153846154,1.0,0.7414527157786093,0.6974530335151895,4.812396733986767e-05,3.484364705286106e-05,0.37047905008871296,0.5070921985815604
1973,0.41666666666666663,0.6153846153846154,1.0,0.74136670537135,0.8090842000379764,4.812396733986767e-05,3.484364705286106e-05,0.37047905008871296,0.5070921985815604
1974,0.41666666666666663,0.6153846153846154,1.0,0.74136670537135,0.8217514970352925,4.812396733986767e-05,3.484364705286106e-05,0.37047905008871296,0.5070921985815604
1975,0.41666666666666663,0.6153846153846154,1.0,0.7411946845568314,0.7074874276441098,4.812396733986767e-05,3.484364705286106e-05,0.37047905008871296,0.5070921985815604
1976,0.41666666666666663,0.6153846153846154,1.0,0.7412806949640907,0.7100694342488788,4.812396733986767e-05,3.484364705286106e-05,0.37047905008871296,0.5070921985815604
1977,0.41666666666666663,0.6153846153846154,1.0,0.7413237001677203,0.36170604275677654,5.454049631851651e-05,3.642744919162737e-05,0.41672353396114836,0.5851063829787233
1978,0.41666666666666663,0.6153846153846154,1.0,0.7423988302584613,0.5445117188647001,5.454049631851651e-05,3.642744919162737e-05,0.41672353396114836,0.5851063829787233
1979,0.41666666666666663,0.6153846153846154,1.0,0.7436029759600912,0.6625323240212746,5.454049631851651e-05,3.642744919162737e-05,0.41672353396114836,0.5851063829787233
1980,0.41666666666666663,0.6153846153846154,1.0,0.7448501268653507,0.6364890974330665,5.454049631851651e-05,3.642744919162737e-05,0.41672353396114836,0.5851063829787233
1981,0.41666666666666663,0.6153846153846154,1.0,0.7461402829742398,0.6503250509452023,5.454049631851651e-05,3.642744919162737e-05,0.41672353396114836,0.5851063829787233
1982,0.41666666666666663,0.6153846153846154,1.0,0.7473874338794995,0.7694477559641612,5.454049631851651e-05,3.642744919162737e-05,0.41672353396114836,0.5851063829787233
1983,0.41666666666666663,0.6153846153846154,1.0,0.7486775899883886,0.7410554710547076,5.454049631851651e-05,3.642744919162737e-05,0.41672353396114836,0.5851063829787233
1984,0.41666666666666663,0.6153846153846154,1.0,0.7499677460972778,0.6665178929729878,5.454049631851651e-05,3.642744919162737e-05,0.41672353396114836,0.5851063829787233
1985,0.41666666666666663,0.6153846153846154,1.0,0.751257902206167,0.6677394033000353,5.454049631851651e-05,3.642744919162737e-05,0.41672353396114836,0.5851063829787233
1986,0.41666666666666663,0.6153846153846154,1.0,0.7525910635186859,0.7765321243513174,5.454049631851651e-05,3.642744919162737e-05,0.41672353396114836,0.5851063829787233
1987,0.41666666666666663,0.6153846153846154,1.0,0.7539242248312046,0.7716402103973236,5.454049631851651e-05,3.642744919162737e-05,0.41672353396114836,0.5851063829787233
1988,0.41666666666666663,0.6153846153846154,1.0,0.75448329247839,0.36951078902911455,4.010330611655625e-05,4.276265774669306e-05,0.38924525726764025,0.574468085106383
1989,0.41666666666666663,0.6153846153846154,1.0,0.7551713757364642,0.5466415317426293,4.010330611655625e-05,4.276265774669306e-05,0.38924525726764025,0.574468085106383
1990,0.41666666666666663,0.6153846153846154,1.0,0.7559884746054273,0.7461509700632092,4.010330611655625e-05,4.276265774669306e-05,0.38924525726764025,0.574468085106383
1991,0.41666666666666663,0.6153846153846154,1.0,0.7569345890852794,0.708636508672919,4.010330611655625e-05,4.276265774669306e-05,0.38924525726764025,0.574468085106383
1992,0.41666666666666663,0.6153846153846154,1.0,0.757923708768761,0.6544887568196098,4.010330611655625e-05,4.276265774669306e-05,0.38924525726764025,0.574468085106383
1993,0.41666666666666663,0.6153846153846154,1.0,0.7587408076377242,0.6593493499959869,4.010330611655625e-05,4.276265774669306e-05,0.38924525726764025,0.574468085106383
1994,0.41666666666666663,0.6153846153846154,1.0,0.7588698232486131,0.7894773932499808,4.010330611655625e-05,4.276265774669306e-05,0.38924525726764025,0.574468085106383
1995,0.41666666666666663,0.6153846153846154,1.0,0.7586117920268354,0.7523818472603128,4.010330611655625e-05,4.276265774669306e-05,0.38924525726764025,0.574468085106383
1996,0.41666666666666663,0.6153846153846154,1.0,0.7583107556014278,0.6752172389560002,4.010330611655625e-05,4.276265774669306e-05,0.38924525726764025,0.574468085106383
1997,0.41666666666666663,0.6153846153846154,1.0,0.7580097191760204,0.6737079689846,4.010330611655625e-05,4.276265774669306e-05,0.38924525726764025,0.574468085106383
1998,0.41666666666666663,0.6153846153846154,1.0,0.7576656775469832,0.7930636222870823,4.010330611655625e-05,4.276265774669306e-05,0.38924525726764025,0.574468085106383
1999,0.41666666666666663,0.6153846153846154,1.0,0.7571496151034276,0.3261667479049336,3.3686777137907414e-05,4.276265774669306e-05,0.40093717301305676,0.8120567375886527
2000,0.41666666666666663,0.6153846153846154,1.0,0.7562895110308347,0.5818421706864927,3.3686777137907414e-05,4.276265774669306e-05,0.40093717301305676,0.8120567375886527
2001,0.41666666666666663,0.6153846153846154,1.0,0.7554294069582419,0.6075056328460995,3.3686777137907414e-05,4.276265774669306e-05,0.40093717301305676,0.8120567375886527
